datetime;temp;solarradiation;solarenergy
2013-05-01T00:00:00;6.6;0;
2013-05-01T01:00:00;5.8;0;
2013-05-01T02:00:00;5.5;0;
2013-05-01T03:00:00;5.1;0;
2013-05-01T04:00:00;4.8;0;
2013-05-01T05:00:00;5.1;1.6;0
2013-05-01T06:00:00;4.8;55.8;0.2
2013-05-01T07:00:00;5.3;191.7;0.7
2013-05-01T08:00:00;5.8;405.8;1.5
2013-05-01T09:00:00;6.8;567;2
2013-05-01T10:00:00;9.1;705;2.5
2013-05-01T11:00:00;12.1;799.3;2.9
2013-05-01T12:00:00;13.8;848.3;3.1
2013-05-01T13:00:00;15.3;847;3
2013-05-01T14:00:00;15.8;797.5;2.9
2013-05-01T15:00:00;17.1;702.8;2.5
2013-05-01T16:00:00;16.8;572.5;2.1
2013-05-01T17:00:00;16.5;412.4;1.5
2013-05-01T18:00:00;16.5;241.4;0.9
2013-05-01T19:00:00;15.3;84.9;0.3
2013-05-01T20:00:00;12.7;2.7;0
2013-05-01T21:00:00;11.3;0;
2013-05-01T22:00:00;9.6;0;
2013-05-01T23:00:00;8.3;0;
2013-05-02T00:00:00;7.8;0;
2013-05-02T01:00:00;8.1;0;
2013-05-02T02:00:00;7.8;0;
2013-05-02T03:00:00;7.3;0;
2013-05-02T04:00:00;6.5;0;
2013-05-02T05:00:00;6.6;2.9;0
2013-05-02T06:00:00;6;87;0.3
2013-05-02T07:00:00;6.6;244.7;0.9
2013-05-02T08:00:00;8.6;418.4;1.5
2013-05-02T09:00:00;11.3;580;2.1
2013-05-02T10:00:00;13.1;709;2.6
2013-05-02T11:00:00;14.6;802.8;2.9
2013-05-02T12:00:00;15.3;850.8;3.1
2013-05-02T13:00:00;17;847.3;3.1
2013-05-02T14:00:00;16.6;797.3;2.9
2013-05-02T15:00:00;17.5;702.5;2.5
2013-05-02T16:00:00;17.6;571.8;2.1
2013-05-02T17:00:00;17.6;409.9;1.5
2013-05-02T18:00:00;16.3;238;0.9
2013-05-02T19:00:00;14.6;85.6;0.3
2013-05-02T20:00:00;13;3.2;0
2013-05-02T21:00:00;11.5;0;
2013-05-02T22:00:00;10.3;0;
2013-05-02T23:00:00;9.3;0;
2013-05-03T00:00:00;8.3;0;
2013-05-03T01:00:00;8.6;0;
2013-05-03T02:00:00;6.6;0;
2013-05-03T03:00:00;5.8;0;
2013-05-03T04:00:00;5.3;0;
2013-05-03T05:00:00;5.1;3.8;0
2013-05-03T06:00:00;5.1;94;0.3
2013-05-03T07:00:00;6.1;239.8;0.9
2013-05-03T08:00:00;9.6;392.5;1.4
2013-05-03T09:00:00;11.8;541.3;1.9
2013-05-03T10:00:00;14.1;692.8;2.5
2013-05-03T11:00:00;16.5;806;2.9
2013-05-03T12:00:00;17.3;852.3;3.1
2013-05-03T13:00:00;18.3;849.8;3.1
2013-05-03T14:00:00;18.8;799.8;2.9
2013-05-03T15:00:00;20.6;705.8;2.5
2013-05-03T16:00:00;19.8;577;2.1
2013-05-03T17:00:00;19.5;420.8;1.5
2013-05-03T18:00:00;18.6;251.8;0.9
2013-05-03T19:00:00;16.8;93.2;0.3
2013-05-03T20:00:00;15.3;4;0
2013-05-03T21:00:00;13.8;0;
2013-05-03T22:00:00;12.6;0;
2013-05-03T23:00:00;12;0;
2013-05-04T00:00:00;11.1;0;
2013-05-04T01:00:00;10.3;0;
2013-05-04T02:00:00;10;0;
2013-05-04T03:00:00;9.5;0;
2013-05-04T04:00:00;8.8;0;
2013-05-04T05:00:00;8.3;2.8;0
2013-05-04T06:00:00;8.3;56.8;0.2
2013-05-04T07:00:00;9.6;158.3;0.6
2013-05-04T08:00:00;11.1;312.8;1.1
2013-05-04T09:00:00;11.6;471.1;1.7
2013-05-04T10:00:00;12.5;629;2.3
2013-05-04T11:00:00;13;594.5;2.1
2013-05-04T12:00:00;14.3;475.1;1.7
2013-05-04T13:00:00;14.5;419.6;1.5
2013-05-04T14:00:00;15.8;472.9;1.7
2013-05-04T15:00:00;15.5;433.5;1.6
2013-05-04T16:00:00;17.1;461.1;1.7
2013-05-04T17:00:00;16;349.3;1.3
2013-05-04T18:00:00;16.1;183.8;0.7
2013-05-04T19:00:00;14.8;68.2;0.2
2013-05-04T20:00:00;14.3;3.5;0
2013-05-04T21:00:00;13.5;0;
2013-05-04T22:00:00;12.8;0;
2013-05-04T23:00:00;12;0;
2013-05-05T00:00:00;11.3;0;
2013-05-05T01:00:00;10.5;0;
2013-05-05T02:00:00;9.8;0;
2013-05-05T03:00:00;9.3;0;
2013-05-05T04:00:00;8.3;0;
2013-05-05T05:00:00;7.1;2;0
2013-05-05T06:00:00;7.3;36.8;0.1
2013-05-05T07:00:00;8;115;0.4
2013-05-05T08:00:00;10.1;233.5;0.8
2013-05-05T09:00:00;12.5;420.9;1.5
2013-05-05T10:00:00;13.1;663;2.4
2013-05-05T11:00:00;14.5;729.5;2.6
2013-05-05T12:00:00;16.1;768.5;2.8
2013-05-05T13:00:00;16.3;773;2.8
2013-05-05T14:00:00;17.1;706.8;2.5
2013-05-05T15:00:00;17.2;567.8;2
2013-05-05T16:00:00;17.3;397.8;1.4
2013-05-05T17:00:00;17.8;283;1
2013-05-05T18:00:00;18.1;161.6;0.6
2013-05-05T19:00:00;18;55.3;0.2
2013-05-05T20:00:00;17;3.1;0
2013-05-05T21:00:00;16.1;0;
2013-05-05T22:00:00;15.8;0;
2013-05-05T23:00:00;15.3;0;
2013-05-06T00:00:00;14.8;0;
2013-05-06T01:00:00;14.1;0;
2013-05-06T02:00:00;12.3;0;
2013-05-06T03:00:00;11.3;0;
2013-05-06T04:00:00;10.6;0;
2013-05-06T05:00:00;11.1;3.7;0
2013-05-06T06:00:00;11.8;68.2;0.2
2013-05-06T07:00:00;12.8;204.7;0.7
2013-05-06T08:00:00;13.6;382.9;1.4
2013-05-06T09:00:00;14.7;570.3;2.1
2013-05-06T10:00:00;17.3;687;2.5
2013-05-06T11:00:00;18.3;770.5;2.8
2013-05-06T12:00:00;19.3;803.3;2.9
2013-05-06T13:00:00;18.8;826.5;3
2013-05-06T14:00:00;20.8;778;2.8
2013-05-06T15:00:00;20.6;697.5;2.5
2013-05-06T16:00:00;21.6;578.5;2.1
2013-05-06T17:00:00;21.1;423.5;1.5
2013-05-06T18:00:00;20.8;249.8;0.9
2013-05-06T19:00:00;20;97.7;0.4
2013-05-06T20:00:00;18.6;6.2;0
2013-05-06T21:00:00;16.6;0;
2013-05-06T22:00:00;15.1;0;
2013-05-06T23:00:00;14;0;
2013-05-07T00:00:00;12.6;0;
2013-05-07T01:00:00;11.5;0;
2013-05-07T02:00:00;10.5;0;
2013-05-07T03:00:00;10.1;0;
2013-05-07T04:00:00;9.5;0;
2013-05-07T05:00:00;9.3;6.9;0
2013-05-07T06:00:00;9.6;104;0.4
2013-05-07T07:00:00;10.3;260.4;0.9
2013-05-07T08:00:00;13.3;425.6;1.5
2013-05-07T09:00:00;15.5;578;2.1
2013-05-07T10:00:00;18.3;701.8;2.5
2013-05-07T11:00:00;19.6;790.3;2.8
2013-05-07T12:00:00;20;791.3;2.8
2013-05-07T13:00:00;20.6;718;2.6
2013-05-07T14:00:00;20.4;683.3;2.5
2013-05-07T15:00:00;18.4;662.5;2.4
2013-05-07T16:00:00;18.1;557.8;2
2013-05-07T17:00:00;19.1;415.4;1.5
2013-05-07T18:00:00;19.8;251.7;0.9
2013-05-07T19:00:00;19.1;98.3;0.4
2013-05-07T20:00:00;17.8;6.4;0
2013-05-07T21:00:00;16.6;0;
2013-05-07T22:00:00;15.6;0;
2013-05-07T23:00:00;14.3;0;
2013-05-08T00:00:00;13.2;0;
2013-05-08T01:00:00;12.6;0;
2013-05-08T02:00:00;12.7;0;
2013-05-08T03:00:00;12.2;0;
2013-05-08T04:00:00;12.6;0;
2013-05-08T05:00:00;12.6;1.9;0
2013-05-08T06:00:00;12.6;20.6;0.1
2013-05-08T07:00:00;12.8;59;0.2
2013-05-08T08:00:00;12.8;119;0.4
2013-05-08T09:00:00;13.8;200.1;0.7
2013-05-08T10:00:00;14.1;305.6;1.1
2013-05-08T11:00:00;15;338.9;1.2
2013-05-08T12:00:00;16.3;395.6;1.4
2013-05-08T13:00:00;15.6;505.6;1.8
2013-05-08T14:00:00;15.1;640;2.3
2013-05-08T15:00:00;15.8;694.5;2.5
2013-05-08T16:00:00;17;585.8;2.1
2013-05-08T17:00:00;16.8;401.4;1.4
2013-05-08T18:00:00;15.6;216.9;0.8
2013-05-08T19:00:00;15.1;59.1;0.2
2013-05-08T20:00:00;14.3;5;0
2013-05-08T21:00:00;14.1;0;
2013-05-08T22:00:00;12.5;0;
2013-05-08T23:00:00;11.5;0;
2013-05-09T00:00:00;10.6;0;
2013-05-09T01:00:00;10;0;
2013-05-09T02:00:00;9.3;0;
2013-05-09T03:00:00;8.8;0;
2013-05-09T04:00:00;8.1;0;
2013-05-09T05:00:00;7.8;7.3;0
2013-05-09T06:00:00;7.6;92.3;0.3
2013-05-09T07:00:00;8.5;271.9;1
2013-05-09T08:00:00;10.3;436.3;1.6
2013-05-09T09:00:00;12;583.5;2.1
2013-05-09T10:00:00;12.2;710.3;2.6
2013-05-09T11:00:00;14.1;783.3;2.8
2013-05-09T12:00:00;13.6;812.5;2.9
2013-05-09T13:00:00;11.2;812.3;2.9
2013-05-09T14:00:00;13.3;752.5;2.7
2013-05-09T15:00:00;14.8;666.8;2.4
2013-05-09T16:00:00;13.8;551.8;2
2013-05-09T17:00:00;13.3;414.8;1.5
2013-05-09T18:00:00;12.8;250;0.9
2013-05-09T19:00:00;11.5;92.8;0.3
2013-05-09T20:00:00;10.6;5.8;0
2013-05-09T21:00:00;10.3;0;
2013-05-09T22:00:00;10.3;0;
2013-05-09T23:00:00;10.6;0;
2013-05-10T00:00:00;10.5;0;
2013-05-10T01:00:00;10.5;0;
2013-05-10T02:00:00;10.3;0;
2013-05-10T03:00:00;10.6;0;
2013-05-10T04:00:00;10.6;0;
2013-05-10T05:00:00;10.6;3.3;0
2013-05-10T06:00:00;10.8;40.3;0.1
2013-05-10T07:00:00;11.3;100.5;0.4
2013-05-10T08:00:00;12.6;197.8;0.7
2013-05-10T09:00:00;12.5;374.3;1.3
2013-05-10T10:00:00;12.8;505.5;1.8
2013-05-10T11:00:00;12.8;662;2.4
2013-05-10T12:00:00;12.6;688;2.5
2013-05-10T13:00:00;13.1;663.8;2.4
2013-05-10T14:00:00;16.3;664;2.4
2013-05-10T15:00:00;17.5;431.9;1.6
2013-05-10T16:00:00;16.5;388.6;1.4
2013-05-10T17:00:00;16.2;260.5;0.9
2013-05-10T18:00:00;16.1;183.9;0.7
2013-05-10T19:00:00;15.1;93.8;0.3
2013-05-10T20:00:00;14.3;8.8;0
2013-05-10T21:00:00;12.8;0;
2013-05-10T22:00:00;12.1;0;
2013-05-10T23:00:00;10.8;0;
